Date,Open,High,Low,Close,Adj Close,Volume,Stock,putWidth,putPremium,putIV,dt
2020-09-30,15.40999984741211,16.040000915527344,15.140000343322754,15.15999984741211,15.15999984741211,4253200,PLAY,5.0,0.0,0.12500875,
2020-10-01,15.239999771118164,15.5600004196167,15.0600004196167,15.550000190734863,15.550000190734863,3148200,PLAY,5.0,0.0,0.12500875,
2020-10-02,14.760000228881836,15.819999694824219,14.550000190734863,15.710000038146973,15.710000038146973,3400600,PLAY,5.0,0.0,0.12500875,
2020-10-05,15.829999923706055,16.200000762939453,15.319999694824219,15.390000343322754,15.390000343322754,3238200,PLAY,5.0,0.0,0.12500875,
2020-10-06,15.640000343322754,16.600000381469727,15.260000228881836,15.460000038146973,15.460000038146973,5560900,PLAY,5.0,0.0,0.12500875,
2020-10-07,15.949999809265137,16.3700008392334,15.260000228881836,15.640000343322754,15.640000343322754,4816500,PLAY,5.0,0.0,0.12500875,
2020-10-08,15.9399995803833,16.139999389648438,15.4399995803833,16.040000915527344,16.040000915527344,3122700,PLAY,5.0,0.0,0.12500875,
2020-10-09,16.18000030517578,16.3799991607666,15.8100004196167,16.100000381469727,16.100000381469727,2169800,PLAY,5.0,0.0,0.12500875,
2020-10-12,16.06999969482422,16.110000610351562,15.425000190734863,15.579999923706055,15.579999923706055,2480100,PLAY,5.0,0.0,0.12500875,
2020-10-13,15.244999885559082,15.350000381469727,14.600000381469727,14.640000343322754,14.640000343322754,3563300,PLAY,5.0,0.0,0.12500875,
2020-10-14,15.1899995803833,15.765000343322754,14.970000267028809,15.645000457763672,15.645000457763672,4404600,PLAY,5.0,0.0,0.12500875,
2020-10-15,15.25,16.190000534057617,15.15999984741211,16.170000076293945,16.170000076293945,2795900,PLAY,5.0,0.0,0.12500875,
2020-10-16,16.190000534057617,16.34000015258789,15.539999961853027,16.170000076293945,16.170000076293945,3151500,PLAY,5.0,0.0,0.12500875,
2020-10-19,16.639999389648438,17.8799991607666,16.600000381469727,17.360000610351562,17.360000610351562,5376500,PLAY,5.0,0.0,0.12500875,
2020-10-20,18.579999923706055,18.94499969482422,17.700000762939453,18.790000915527344,18.790000915527344,5511000,PLAY,5.0,0.0,0.12500875,
2020-10-21,18.90999984741211,19.3700008392334,18.600000381469727,19.149999618530273,19.149999618530273,4107200,PLAY,5.0,0.0,0.12500875,
2020-10-22,19.110000610351562,20.760000228881836,19.049999237060547,20.479999542236328,20.479999542236328,5407600,PLAY,5.0,0.0,0.12500875,
2020-10-23,20.670000076293945,21.3799991607666,19.75,20.450000762939453,20.450000762939453,4007600,PLAY,5.0,0.0,0.12500875,
2020-10-26,19.649999618530273,20.040000915527344,18.350000381469727,18.610000610351562,18.610000610351562,3537900,PLAY,5.0,0.0,0.12500875,
2020-10-27,18.649999618530273,18.81999969482422,18.0,18.299999237060547,18.299999237060547,2514100,PLAY,5.0,0.0,0.12500875,
2020-10-28,17.420000076293945,17.690000534057617,16.790000915527344,16.969999313354492,16.969999313354492,2918200,PLAY,5.0,0.0,0.12500875,
2020-10-29,16.979999542236328,17.540000915527344,16.610000610351562,17.475000381469727,17.475000381469727,2157900,PLAY,5.0,0.0,0.12500875,
2020-09-18,75.0,76.79000091552734,67.0,68.3499984741211,68.3499984741211,20621000,U,5.0,0.0,0.0312596875,
2020-09-21,67.11000061035156,73.9800033569336,65.11000061035156,72.95999908447266,72.95999908447266,5055200,U,5.0,0.0,0.0312596875,
2020-09-22,76.63999938964844,84.9800033569336,75.11000061035156,84.81999969482422,84.81999969482422,6893700,U,5.0,0.0,0.0312596875,
2020-09-23,88.66999816894531,88.87999725341797,79.9000015258789,81.8499984741211,81.8499984741211,4343900,U,5.0,0.0,0.0312596875,
2020-09-24,77.75,83.88999938964844,75.69999694824219,83.19999694824219,83.19999694824219,2487200,U,5.0,0.0,0.0312596875,
2020-09-25,84.79000091552734,93.36000061035156,84.25,89.8499984741211,89.8499984741211,3681700,U,5.0,0.0,0.0312596875,
2020-09-28,94.45999908447266,100.0,94.0999984741211,95.80000305175781,95.80000305175781,3999900,U,5.0,0.0,0.0312596875,
2020-09-29,98.16000366210938,102.62999725341797,93.5,94.91999816894531,94.91999816894531,2814000,U,5.0,0.0,0.0312596875,
2020-09-30,94.9000015258789,96.36000061035156,85.02999877929688,87.27999877929688,87.27999877929688,3662700,U,5.0,0.0,0.0312596875,
2020-10-01,89.33000183105469,90.97000122070312,83.5,84.55999755859375,84.55999755859375,4530800,U,5.0,0.0,0.0312596875,
2020-10-02,81.55000305175781,87.61900329589844,81.55000305175781,83.52999877929688,83.52999877929688,2771300,U,5.0,0.0,0.0312596875,
2020-10-05,85.83000183105469,85.8489990234375,82.30000305175781,84.0,84.0,1260500,U,5.0,0.0,0.0312596875,
2020-10-06,84.61000061035156,84.76000213623047,82.70999908447266,82.79000091552734,82.79000091552734,1014400,U,5.0,0.0,0.0312596875,
2020-10-07,84.04000091552734,89.5,83.75800323486328,88.6500015258789,88.6500015258789,1767800,U,5.0,0.0,0.0312596875,
2020-10-08,91.19000244140625,93.5,88.80000305175781,91.4000015258789,91.4000015258789,1892900,U,5.0,0.0,0.0312596875,
2020-10-09,92.8499984741211,100.41999816894531,92.69999694824219,99.11000061035156,99.11000061035156,2587700,U,5.0,0.0,0.0312596875,
2020-10-12,100.12999725341797,101.0,89.80000305175781,90.0,90.0,3868000,U,5.0,0.0,0.0312596875,
2020-10-13,92.3499984741211,94.77999877929688,91.0,92.11000061035156,92.11000061035156,2000700,U,5.0,0.0,0.0312596875,
2020-10-14,93.5199966430664,96.0999984741211,89.19999694824219,90.0199966430664,90.0199966430664,2199800,U,5.0,0.0,0.0312596875,
2020-10-15,88.19999694824219,93.38999938964844,87.0,91.43000030517578,91.43000030517578,1362700,U,5.0,0.0,0.0312596875,
2020-10-16,92.19000244140625,93.5999984741211,90.87799835205078,92.55999755859375,92.55999755859375,958600,U,5.0,0.0,0.0312596875,
2020-10-19,94.0,95.4000015258789,88.20999908447266,89.30000305175781,89.30000305175781,1669100,U,5.0,0.0,0.0312596875,
2020-10-20,89.83000183105469,90.62000274658203,86.0999984741211,87.1500015258789,87.1500015258789,1224800,U,5.0,0.0,0.0312596875,
2020-10-21,87.2699966430664,91.2699966430664,87.2699966430664,91.0,91.0,1270200,U,5.0,0.0,0.0312596875,
2020-10-22,90.81999969482422,101.0,88.27999877929688,100.95999908447266,100.95999908447266,4738100,U,5.0,0.0,0.0312596875,
2020-10-23,101.0,103.97000122070312,93.0,97.27999877929688,97.27999877929688,3246200,U,5.0,0.0,0.0312596875,
2020-10-26,98.0,103.48999786376953,91.62999725341797,99.95999908447266,99.95999908447266,2933300,U,5.0,0.0,0.0312596875,
2020-10-27,100.0,108.3499984741211,95.5,104.0,104.0,5984300,U,5.0,0.0,0.0312596875,
2020-10-28,100.0,102.0,96.19999694824219,99.76000213623047,99.76000213623047,2391500,U,5.0,0.0,0.0312596875,
2020-10-29,101.79000091552734,109.27999877929688,98.5,108.83999633789062,108.83999633789062,2794300,U,5.0,0.0,0.0312596875,
2020-08-03,259.0,261.760009765625,256.1199951171875,256.5799865722656,255.34152221679688,1504600,AMT,10.0,0.0,0.0039162109375,
2020-08-04,256.2799987792969,262.3999938964844,255.94000244140625,260.1700134277344,258.9142150878906,1782900,AMT,10.0,0.0,0.0039162109375,
2020-08-05,260.260009765625,260.3699951171875,254.22000122070312,255.2899932861328,254.05775451660156,1071400,AMT,10.0,0.0,0.0039162109375,
2020-08-06,254.6999969482422,255.5399932861328,252.0,255.50999450683594,254.2766876220703,1127600,AMT,10.0,0.0,0.0039162109375,
2020-08-07,254.44000244140625,258.7099914550781,254.17999267578125,257.6099853515625,256.3665466308594,1023300,AMT,10.0,0.0,0.0039162109375,
2020-08-10,257.2099914550781,257.7099914550781,251.94000244140625,253.41000366210938,252.18682861328125,1282400,AMT,10.0,0.0,0.0039162109375,
2020-08-11,253.9499969482422,254.1999969482422,245.1999969482422,246.1999969482422,245.01162719726562,2111800,AMT,10.0,0.0,0.0039162109375,
2020-08-12,247.00999450683594,252.9499969482422,247.0,251.3000030517578,250.08702087402344,1381000,AMT,10.0,0.0,0.0039162109375,
2020-08-13,250.89999389648438,253.0,250.17999267578125,250.72999572753906,249.51976013183594,960900,AMT,10.0,0.0,0.0039162109375,
2020-08-14,250.8300018310547,253.24000549316406,248.7100067138672,250.1199951171875,248.91270446777344,737000,AMT,10.0,0.0,0.0039162109375,
2020-08-17,250.08999633789062,251.9499969482422,249.4199981689453,250.91000366210938,249.6988983154297,1435000,AMT,10.0,0.0,0.0039162109375,
